index,id,country,genus,species,lat,lon,date,upper,lower
1607,StW_574,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1608,StW_575,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1609,StW_576,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1610,StW_577,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1611,StW_579,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1612,StW_58,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1613,StW_580,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1614,StW_581,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1615,StW_582,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1616,StW_583,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1617,StW_584,south_africa,australopithecus,africanus,-26.016,27.734,2.18,2.39,1.97
1618,StW_585,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1619,StW_586,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1620,StW_587,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1621,StW_59,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1622,StW_595,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1623,StW_596,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1624,StW_597,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1625,StW_6,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1626,StW_60,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1627,StW_61,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1628,StW_610,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1629,StW_611,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1630,StW_612,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1631,StW_613,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1632,StW_614,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1633,StW_615,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1634,StW_616,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1635,StW_617,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1636,StW_618,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1637,StW_62,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1638,StW_623,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1639,StW_624,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1640,StW_626a,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1641,StW_626b,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1642,StW_627,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1643,StW_63,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1644,"StW_632a,b",south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1645,StW_634,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1646,StW_635,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1647,StW_638,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1648,StW_639,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1649,StW_64,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1650,StW_642,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1651,StW_643,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1652,StW_648,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1653,StW_65,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1654,StW_657,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1655,StW_66,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1656,StW_661,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1657,StW_662,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1658,StW_663,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1659,StW_664,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1660,StW_667,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1661,StW_67,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1662,StW_676,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1663,StW_678,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1664,StW_68,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1665,StW_69,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1666,StW_7,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1667,StW_70,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1668,StW_71,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
